Node1,Node2,Weight Before,Weight After,Change
0,1,0.8326,0.6152,-0.2175
0,2,0.4037,0.7950,+0.3913
0,12,0.6924,0.5706,-0.1218
0,19,0.6398,0.4349,-0.2049
0,29,0.6020,0.4646,-0.1375
1,2,0.4800,0.5357,+0.0558
1,3,0.6140,0.6826,+0.0686
1,10,0.6227,0.4356,-0.1871
1,23,0.7324,0.6487,-0.0837
1,29,0.5229,0.4873,-0.0357
2,3,0.9172,0.6490,-0.2682
2,12,0.3524,0.4986,+0.1462
3,4,1.0000,0.5058,-0.4942
3,5,0.2096,0.6464,+0.4368
3,15,0.5696,0.3104,-0.2593
4,6,0.7177,0.3185,-0.3992
4,12,0.5584,0.6622,+0.1038
4,19,0.4755,0.5573,+0.0819
4,21,0.6562,0.4563,-0.1999
5,6,0.5014,0.8951,+0.3937
5,19,0.4821,0.7715,+0.2894
6,7,0.7699,0.5680,-0.2019
6,8,0.6714,0.5962,-0.0752
7,8,0.4614,0.3995,-0.0619
7,23,0.7799,0.5963,-0.1836
8,9,0.6615,0.5423,-0.1192
8,25,0.7626,0.6645,-0.0980
8,28,0.7259,0.4346,-0.2914
9,10,0.4342,0.7039,+0.2697
9,11,0.4880,0.9065,+0.4186
10,21,0.7495,0.5782,-0.1712
10,28,0.7221,0.6803,-0.0417
11,13,0.5958,0.7380,+0.1422
11,17,0.6235,0.5198,-0.1037
13,14,0.8555,0.6448,-0.2107
13,17,0.4817,0.6025,+0.1208
14,15,0.7094,0.6195,-0.0899
14,16,0.5596,0.4454,-0.1142
15,16,0.5565,0.6049,+0.0484
15,25,0.0000,0.9793,+0.9793
15,27,0.0000,0.6996,+0.6996
16,17,0.8198,0.7919,-0.0279
16,23,0.7651,1.0000,+0.2349
17,18,0.7627,0.4465,-0.3162
17,19,0.8611,0.7745,-0.0866
18,19,0.6042,0.6367,+0.0325
18,20,0.7364,1.0000,+0.2636
20,21,0.5379,0.4383,-0.0996
20,22,0.6648,0.4321,-0.2328
21,22,0.5740,0.4801,-0.0938
21,23,0.6194,0.1752,-0.4442
21,24,0.7190,0.4948,-0.2242
22,24,0.4364,0.4482,+0.0118
22,29,1.0000,0.6301,-0.3699
23,25,0.3988,0.6684,+0.2696
24,26,0.3572,0.9752,+0.6181
25,27,0.8316,0.7901,-0.0415
25,28,0.0000,0.5331,+0.5331
26,27,0.7583,0.4623,-0.2960
26,28,0.7248,0.7682,+0.0434
27,28,0.7257,0.3360,-0.3897
27,29,0.5976,0.9663,+0.3687
28,29,0.4205,0.8359,+0.4153
